[ 2025-06-03 18:02:19,070 ] 21 root - INFO - Initiate the data ingestion
[ 2025-06-03 18:02:21,481 ] 76 root - INFO - Performed train test split on the dataframe
[ 2025-06-03 18:02:21,481 ] 78 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-03 18:02:21,481 ] 86 root - INFO - Exporting train and test file path.
[ 2025-06-03 18:02:21,522 ] 95 root - INFO - Exported train and test file path.
[ 2025-06-03 18:02:21,524 ] 24 root - INFO - Data Initiation Completed
[ 2025-06-03 18:02:21,526 ] 31 root - INFO - Initiate the data Validation
[ 2025-06-03 18:02:21,526 ] 34 root - INFO - Required number of columns:2
[ 2025-06-03 18:02:21,526 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-03 18:02:21,526 ] 34 root - INFO - Required number of columns:2
[ 2025-06-03 18:02:21,526 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-03 18:02:21,655 ] 34 root - INFO - data Validation Completed
