[ 2025-06-13 17:20:22,033 ] 28 root - INFO - Initiate the data ingestion
[ 2025-06-13 17:20:27,056 ] 76 root - INFO - Performed train test split on the dataframe
[ 2025-06-13 17:20:27,056 ] 78 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-13 17:20:27,056 ] 86 root - INFO - Exporting train and test file path.
[ 2025-06-13 17:20:27,196 ] 95 root - INFO - Exported train and test file path.
[ 2025-06-13 17:20:27,200 ] 30 root - INFO - Data Initiation Completed
[ 2025-06-13 17:20:27,216 ] 40 root - INFO - Initiate the data Validation
[ 2025-06-13 17:20:27,254 ] 34 root - INFO - Required number of columns:2
[ 2025-06-13 17:20:27,254 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-13 17:20:27,254 ] 34 root - INFO - Required number of columns:2
[ 2025-06-13 17:20:27,254 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-13 17:20:27,628 ] 42 root - INFO - data Validation Completed
[ 2025-06-13 17:20:27,628 ] 52 root - INFO - Initiate the data Transformation
[ 2025-06-13 17:20:27,628 ] 74 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-13 17:20:27,628 ] 76 root - INFO - Starting Data Transformation
[ 2025-06-13 17:20:27,681 ] 58 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-13 17:20:27,681 ] 63 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-13 17:20:27,710 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-13 17:20:27,719 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-13 17:20:27,719 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-13 17:20:27,722 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-13 17:20:27,726 ] 54 root - INFO - data Transformation completed
[ 2025-06-13 17:20:27,728 ] 60 root - INFO - Model Training Started
